intento: 22 tiempo: 0.014 [0.0408979156632412 0.00723745079468709 0.00496339056444093 0.00722836916975258 0.00626979142452761 0.00729469144720268 0.00465344354414391;0.00723745079468709 0.045099826518007 0.00893038980412854 0.00931705717008583 0.00938910194316697 0.00588698495016722 0.00661694014417004;0.00496339056444093 0.00893038980412854 0.0392515722216175 0.0074868253751334 0.00591857556766981 0.00430019478997367 0.00561648843294528;0.00722836916975258 0.00931705717008583 0.0074868253751334 0.0432884602125225 0.00747252806475127 0.00605503269306468 0.00600086903625054;0.00626979142452761 0.00938910194316697 0.00591857556766981 0.00747252806475127 0.0418995281048588 0.00628337364156253 0.00641111741271054;0.00729469144720268 0.00588698495016722 0.00430019478997367 0.00605503269306468 0.00628337364156253 0.0387229374957228 0.00368685928919709;0.00465344354414391 0.00661694014417004 0.00561648843294528 0.00600086903625054 0.00641111741271054 0.00368685928919709 0.0417182360158876]
intento: 24 tiempo: 0.014 [0.0372811573240362 0.00480320691972903 0.0060643437600229 0.00518633980347353 0.0040643374268112 0.00613937011860216 0.00523650750807675;0.00480320691972903 0.0385233756572758 0.00679676873452101 0.00433845729722578 0.00662263235746906 0.00640688520283578 0.00504369516517898;0.0060643437600229 0.00679676873452101 0.0381390027058133 0.00683429341962128 0.00442066569921642 0.005497942907423 0.00685453471879817;0.00518633980347353 0.00433845729722578 0.00683429341962128 0.0392381682071515 0.00507759021055786 0.00672258519958244 0.00616167280531853;0.0040643374268112 0.00662263235746906 0.00442066569921642 0.00507759021055786 0.0349413732983009 0.00496590437670444 0.00481978145493556;0.00613937011860216 0.00640688520283578 0.005497942907423 0.00672258519958244 0.00496590437670444 0.0397941259797278 0.00721909079648558;0.00523650750807675 0.00504369516517898 0.00685453471879817 0.00616167280531853 0.00481978145493556 0.00721909079648558 0.0407217713891874]
intento: 26 tiempo: 0.016 [0.0325120042752671 0.00426503380471503 0.00480501536771566 0.0051666147448371 0.00457681955809795 0.00526371237386839 0.00480653857083009;0.00426503380471503 0.0333548581901735 0.00471297359967697 0.00524650223221276 0.00368878980617564 0.00484055741404832 0.00490523299612439;0.00480501536771566 0.00471297359967697 0.0318344225880174 0.0043611785816317 0.00509533881850458 0.00483202348075787 0.00561957923580508;0.0051666147448371 0.00524650223221276 0.0043611785816317 0.0345520214406819 0.00625201562351867 0.00664772143398411 0.00534109626198061;0.00457681955809795 0.00368878980617564 0.00509533881850458 0.00625201562351867 0.0332186384373842 0.00335951277264585 0.00506211493468921;0.00526371237386839 0.00484055741404832 0.00483202348075787 0.00664772143398411 0.00335951277264585 0.0319925768120164 0.00549805419928619;0.00480653857083009 0.00490523299612439 0.00561957923580508 0.00534109626198061 0.00506211493468921 0.00549805419928619 0.0329590521532824]
intento: 28 tiempo: 0.014 [0.0448324552913151 0.00917988987851267 0.0096749424283477 0.00736615183881487 0.00618389026835784 0.00867201110314347 0.00785600655511287;0.00917988987851267 0.0451682166089356 0.00842121267590782 0.00965087157650925 0.00722783210958909 0.00851433437171774 0.00708143226685087;0.0096749424283477 0.00842121267590782 0.0469181723598917 0.00938683725251611 0.00566332236373826 0.00919747875465599 0.0092748792574313;0.00736615183881487 0.00965087157650925 0.00938683725251611 0.0484383539423217 0.00848150217855995 0.00641988261627074 0.00659587735433126;0.00618389026835784 0.00722783210958909 0.00566332236373826 0.00848150217855995 0.0437205884565419 0.00601772140021803 0.00630598239266481;0.00867201110314347 0.00851433437171774 0.00919747875465599 0.00641988261627074 0.00601772140021803 0.0456848625512001 0.00662310032624633;0.00785600655511287 0.00708143226685087 0.0092748792574313 0.00659587735433126 0.00630598239266481 0.00662310032624633 0.0459378049178018]
intento: 30 tiempo: 0.017 [0.0319889109023339 0.00477144417215655 0.00533186387046597 0.00506365929852107 0.0056524556177468 0.00500286839415205 0.00533382156739778;0.00477144417215655 0.0305123004082517 0.00428966610297799 0.00423714751407471 0.00441342535330468 0.0037636378716695 0.00388522382680642;0.00533186387046597 0.00428966610297799 0.0309121467721259 0.00433430884234282 0.00423274462881395 0.00342666642586635 0.00480965854286046;0.00506365929852107 0.00423714751407471 0.00433430884234282 0.0306608036546647 0.00540032376470959 0.00348910269990711 0.00342744395554459;0.0056524556177468 0.00441342535330468 0.00423274462881395 0.00540032376470959 0.0321852991493781 0.00358318210943671 0.00465487667992232;0.00500286839415205 0.0037636378716695 0.00342666642586635 0.00348910269990711 0.00358318210943671 0.0297188421356852 0.00410162803389707;0.00533382156739778 0.00388522382680642 0.00480965854286046 0.00342744395554459 0.00465487667992232 0.00410162803389707 0.0306824758729453]
intento: 32 tiempo: 0.017 [0.0314827085313346 0.0049789888534533 0.00466040544007314 0.00389035997147842 0.00438765015543658 0.0036329562713911 0.00459529878409486;0.0049789888534533 0.0317125443258264 0.00532526931324032 0.00399944054711694 0.00439426131510881 0.00553606816143266 0.00430469611257431;0.00466040544007314 0.00532526931324032 0.0325129833952063 0.00516265299559687 0.00631999352129465 0.00442860896066292 0.00467011915706671;0.00389035997147842 0.00399944054711694 0.00516265299559687 0.0302611035781663 0.00468048878435528 0.00363261484780047 0.00313936515007615;0.00438765015543658 0.00439426131510881 0.00631999352129465 0.00468048878435528 0.033415913762886 0.00437679292139783 0.00508736839457843;0.0036329562713911 0.00553606816143266 0.00442860896066292 0.00363261484780047 0.00437679292139783 0.0313456135724956 0.00444340879312099;0.00459529878409486 0.00430469611257431 0.00467011915706671 0.00313936515007615 0.00508736839457843 0.00444340879312099 0.0330991330911758]
intento: 34 tiempo: 0.017 [0.0314773862789335 0.00411795382900151 0.0046612467547618 0.00533115947003616 0.00371358002219084 0.00445745298493929 0.00333095396316548;0.00411795382900151 0.0333085345978921 0.00519765737369476 0.00677821329437378 0.00552438227818706 0.0043089211210486 0.00432639567913513;0.0046612467547618 0.00519765737369476 0.0325534457607918 0.00675965635738524 0.00486277635666179 0.00473269319483699 0.00397976582282682;0.00533115947003616 0.00677821329437378 0.00675965635738524 0.0351064927754433 0.00586343786567143 0.00432364239438115 0.00358229809065574;0.00371358002219084 0.00552438227818706 0.00486277635666179 0.00586343786567143 0.0307027480900538 0.0039599393030284 0.00367243952477694;0.00445745298493929 0.0043089211210486 0.00473269319483699 0.00432364239438115 0.0039599393030284 0.0320372587600082 0.00377744397976937;0.00333095396316548 0.00432639567913513 0.00397976582282682 0.00358229809065574 0.00367243952477694 0.00377744397976937 0.0312412810441363]
intento: 36 tiempo: 0.017 [0.0315789562796094 0.00444470512493569 0.00487015523777585 0.00489928387599009 0.0054937305973642 0.00523227700078609 0.00407004644548307;0.00444470512493569 0.0313108189425836 0.00490000446267528 0.00401897355299608 0.00449945368900921 0.00514723013091038 0.00360195761640635;0.00487015523777585 0.00490000446267528 0.0333109977869858 0.00473488136888113 0.00424245060719264 0.00667999701301033 0.00533351227077463;0.00489928387599009 0.00401897355299608 0.00473488136888113 0.0335922603055169 0.00475058652619041 0.00532677887672023 0.00481268997677802;0.0054937305973642 0.00449945368900921 0.00424245060719264 0.00475058652619041 0.0347454768415815 0.00550999622685814 0.00417801389666634;0.00523227700078609 0.00514723013091038 0.00667999701301033 0.00532677887672023 0.00550999622685814 0.0360771840213754 0.00601641672889238;0.00407004644548307 0.00360195761640635 0.00533351227077463 0.00481268997677802 0.00417801389666634 0.00601641672889238 0.0324474678582644]
intento: 38 tiempo: 0.013 [0.0344605447209871 0.00559835338942651 0.00487126841683045 0.00487357743117165 0.00470189925924591 0.0047484092835507 0.00496850794729503;0.00559835338942651 0.0375908268889235 0.00373661653636393 0.00532574130501509 0.00508810816704738 0.00795418095713244 0.00577506656035762;0.00487126841683045 0.00373661653636393 0.0359762524758801 0.00557816492107275 0.00385236113882631 0.0055644195504531 0.00372459867057018;0.00487357743117165 0.00532574130501509 0.00557816492107275 0.0387884892755898 0.00498727709768368 0.00731948710366776 0.00661059597833706;0.00470189925924591 0.00508810816704738 0.00385236113882631 0.00498727709768368 0.0368272791914106 0.00607050782549379 0.00497872493427858;0.0047484092835507 0.00795418095713244 0.0055644195504531 0.00731948710366776 0.00607050782549379 0.0405185409955669 0.00550742740958153;0.00496850794729503 0.00577506656035762 0.00372459867057018 0.00661059597833706 0.00497872493427858 0.00550742740958153 0.0378820202005312]
intento: 40 tiempo: 0.014 [0.0363648361182767 0.00527458398990498 0.00663802907143833 0.00414962671578079 0.00513309048959882 0.00570015006458242 0.00703331361798582;0.00527458398990498 0.0337280286253468 0.00438465614317806 0.00546132123675641 0.00575691578917698 0.00426221180755858 0.00445818104043382;0.00663802907143833 0.00438465614317806 0.034552366231346 0.00517997880020149 0.00411499700024931 0.00526393721916619 0.00678112071764878;0.00414962671578079 0.00546132123675641 0.00517997880020149 0.0335128575491197 0.00426485133795749 0.00628095297856161 0.00574553167677827;0.00513309048959882 0.00575691578917698 0.00411499700024931 0.00426485133795749 0.0332461427728524 0.00417603556265768 0.00543106251518405;0.00570015006458242 0.00426221180755858 0.00526393721916619 0.00628095297856161 0.00417603556265768 0.0346311732249854 0.00591792175542885;0.00703331361798582 0.00445818104043382 0.00678112071764878 0.00574553167677827 0.00543106251518405 0.00591792175542885 0.0379048110844946]
